id,author_timestamp,commit_utc_offset_hours,filename,n_additions,n_deletions,author_id,total_additions,total_deletions,author_total_additions,author_total_deletions
883119,1288128119,-7,mm/memory.c,1,1,11633,8776,6854,14,2
883127,1288128117,-7,mm/memory.c,8,2,9015,8776,6854,144,113
883162,1288128112,-7,mm/memory.c,2,2,8388,8776,6854,329,213
894058,1286394300,2,mm/memory.c,2,1,446,8776,6854,4,2
900553,1284950422,-7,mm/memory.c,5,3,25,8776,6854,143,139
902886,1284075472,-7,mm/memory.c,34,5,20,8776,6854,270,65
907060,1282675458,-7,mm/memory.c,11,4,4291,8776,6854,11,4
907302,1281921415,8,mm/memory.c,1,1,12473,8776,6854,4,3
907492,1282348180,-7,mm/memory.c,11,4,92,8776,6854,265,123
909054,1281811496,-7,mm/memory.c,6,7,92,8776,6854,265,123
909181,1281716644,-7,mm/memory.c,3,1,92,8776,6854,265,123
909244,1281660873,-7,mm/memory.c,23,0,92,8776,6854,265,123
911258,1281399592,-7,mm/memory.c,2,3,9949,8776,6854,100,3
911262,1281399589,-7,mm/memory.c,1,0,20,8776,6854,270,65
911264,1281399588,-7,mm/memory.c,3,1,2413,8776,6854,145,37
911334,1281399543,-7,mm/memory.c,0,2,7691,8776,6854,21,5
918189,1280512706,-7,mm/memory.c,13,3,25,8776,6854,143,139
934429,1274736759,-7,mm/memory.c,11,2,1252,8776,6854,192,122
952478,1270589682,-7,mm/memory.c,1,2,11354,8776,6854,215,118
957584,1269417851,9,mm/memory.c,1,0,26,8776,6854,1,0
959202,1269376537,-7,mm/memory.c,1,0,76,8776,6854,10,5
961576,1268263243,-8,mm/memory.c,2,5,449,8776,6854,6,5
961583,1268263238,-8,mm/memory.c,0,3,11354,8776,6854,215,118
963755,1267825329,-8,mm/memory.c,7,0,2413,8776,6854,145,37
963767,1267825327,-8,mm/memory.c,2,2,2413,8776,6854,145,37
963806,1267825302,-8,mm/memory.c,12,4,11354,8776,6854,215,118
