,Unnamed: 0,author_timestamp,commit_utc_offset_hours,filename,n_additions,n_deletions,author_id
883127,883127,1288128117,-7,mm/memory.c,8,2,9015
883162,883162,1288128112,-7,mm/memory.c,2,2,8388
894058,894058,1286394300,2,mm/memory.c,2,1,446
900553,900553,1284950422,-7,mm/memory.c,5,3,25
902886,902886,1284075472,-7,mm/memory.c,34,5,20
907060,907060,1282675458,-7,mm/memory.c,11,4,4291
907302,907302,1281921415,8,mm/memory.c,1,1,12473
907492,907492,1282348180,-7,mm/memory.c,11,4,92
909054,909054,1281811496,-7,mm/memory.c,6,7,92
909181,909181,1281716644,-7,mm/memory.c,3,1,92
909244,909244,1281660873,-7,mm/memory.c,23,0,92
911258,911258,1281399592,-7,mm/memory.c,2,3,9949
911262,911262,1281399589,-7,mm/memory.c,1,0,20
911264,911264,1281399588,-7,mm/memory.c,3,1,2413
911334,911334,1281399543,-7,mm/memory.c,0,2,7691
918189,918189,1280512706,-7,mm/memory.c,13,3,25
934429,934429,1274736759,-7,mm/memory.c,11,2,1252
952478,952478,1270589682,-7,mm/memory.c,1,2,11354
957584,957584,1269417851,9,mm/memory.c,1,0,26
959202,959202,1269376537,-7,mm/memory.c,1,0,76
961576,961576,1268263243,-8,mm/memory.c,2,5,449
961583,961583,1268263238,-8,mm/memory.c,0,3,11354
963755,963755,1267825329,-8,mm/memory.c,7,0,2413
963767,963767,1267825327,-8,mm/memory.c,2,2,2413
963806,963806,1267825302,-8,mm/memory.c,12,4,11354
963815,963815,1267825300,-8,mm/memory.c,84,9,11354
963824,963824,1267825299,-8,mm/memory.c,33,22,11354
971332,971332,1261154418,0,mm/memory.c,7,7,3136
985595,985595,1260924423,-8,mm/memory.c,2,0,11354
985926,985926,1260962398,1,mm/memory.c,4,0,449
986999,986999,1260842364,-8,mm/memory.c,6,0,15522
987024,987024,1260842344,-8,mm/memory.c,2,2,15522
987059,987059,1260842326,-8,mm/memory.c,14,4,15522
1004823,1004823,1256601023,-7,mm/memory.c,7,4,9759
1006913,1006913,1255477901,2,mm/memory.c,2,1,446
1012253,1012253,1250786105,10,mm/memory.c,4,57,15048
1014016,1014016,1253577815,-7,mm/memory.c,1,0,15522
1014019,1014019,1253577814,-7,mm/memory.c,25,11,15522
1014024,1014024,1253577811,-7,mm/memory.c,19,25,15522
1014027,1014027,1253577810,-7,mm/memory.c,44,9,15522
1014028,1014028,1253577809,-7,mm/memory.c,2,1,15522
1014031,1014031,1253577807,-7,mm/memory.c,7,6,15522
1014034,1014034,1253577806,-7,mm/memory.c,12,31,15522
1014038,1014038,1253577805,-7,mm/memory.c,31,1,15522
1014040,1014040,1253577804,-7,mm/memory.c,4,10,15522
1014106,1014106,1253577776,-7,mm/memory.c,1,1,1252
1014170,1014170,1253577742,-7,mm/memory.c,2,2,20
1014175,1014175,1253577740,-7,mm/memory.c,2,2,15522
1014191,1014191,1253577721,-7,mm/memory.c,2,1,15522
1014193,1014193,1253577719,-7,mm/memory.c,1,1,15522
1014210,1014210,1253577711,-7,mm/memory.c,7,2,16156
1016411,1016411,1253303755,4,mm/memory.c,1,0,1515
1017456,1017456,1253094608,2,mm/memory.c,6,0,7691
1017458,1017458,1253094606,2,mm/memory.c,15,3,7691
1033924,1033924,1248241468,10,mm/memory.c,6,5,435
1039116,1039116,1245923935,2,mm/memory.c,12,14,86
1039696,1039696,1245785818,-7,mm/memory.c,1,1,15522
1039717,1039717,1245761569,1,mm/memory.c,4,2,15522
1040363,1040363,1239379283,-7,mm/memory.c,4,4,92
1040364,1040364,1239378191,-7,mm/memory.c,21,21,92
1045197,1045197,1245191555,-7,mm/memory.c,29,0,1252
1045198,1045198,1245191554,-7,mm/memory.c,5,31,1252
1045199,1045199,1245191553,-7,mm/memory.c,37,0,1252
1045291,1045291,1245191499,-7,mm/memory.c,50,0,16619
1059093,1059093,1241129296,-7,mm/memory.c,76,31,13821
1059100,1059100,1241129288,-7,mm/memory.c,2,2,1252
1070623,1070623,1238538201,-7,mm/memory.c,22,4,13821
1070658,1070658,1238537977,-7,mm/memory.c,5,0,9069
1070661,1070661,1238537973,-7,mm/memory.c,0,2,9069
1071392,1071392,1238451923,2,mm/memory.c,0,2,8898
1073690,1073690,1234944688,-8,mm/memory.c,0,2,12245
1073726,1073726,1234475134,-8,mm/memory.c,2,0,12245
1078405,1078405,1237543504,1,mm/memory.c,0,8,8898
1079625,1079625,1236987344,-7,mm/memory.c,2,2,15441
1080268,1080268,1236915197,1,mm/memory.c,4,2,8898
1081625,1081625,1236353752,-5,mm/memory.c,10,0,13655
1087840,1087840,1233789136,-8,mm/memory.c,1,1,12006
1094045,1094045,1231546391,-8,mm/memory.c,4,3,15649
1094048,1094048,1231546389,-8,mm/memory.c,7,1,15649
1094456,1094456,1231761731,1,mm/memory.c,9,0,8388
1095574,1095574,1231380511,-8,mm/memory.c,6,4,11354
1095623,1095623,1231380490,-8,mm/memory.c,4,6,11354
1095652,1095652,1231380480,-8,mm/memory.c,9,9,11354
1095678,1095678,1231380469,-8,mm/memory.c,5,4,11354
1095683,1095683,1231380468,-8,mm/memory.c,6,6,11354
1097638,1097638,1231281618,-8,mm/memory.c,9,5,9471
1097642,1097642,1231281613,-8,mm/memory.c,8,7,16800
1097644,1097644,1231281612,-8,mm/memory.c,23,0,16800
1097649,1097649,1231281611,-8,mm/memory.c,2,2,16800
1097652,1097652,1231281610,-8,mm/memory.c,7,4,16800
1097655,1097655,1231281609,-8,mm/memory.c,10,10,16800
1097657,1097657,1231281608,-8,mm/memory.c,40,12,16800
1097690,1097690,1231281583,-8,mm/memory.c,1,1,9069
1097706,1097706,1231281576,-8,mm/memory.c,1,1,16800
1097713,1097713,1231281574,-8,mm/memory.c,2,2,16800
1097715,1097715,1231281573,-8,mm/memory.c,14,3,16800
1097716,1097716,1231281572,-8,mm/memory.c,8,2,16800
1097726,1097726,1231281567,-8,mm/memory.c,0,3,16800
1097731,1097731,1231281565,-8,mm/memory.c,0,6,16800
1097746,1097746,1231281561,-8,mm/memory.c,4,0,9949
